iter	RMSE
0	1.39510591
1	1.336840452
2	1.281695376
3	1.230770923
4	1.180874084
5	1.136200082
6	1.093556082
7	1.05168577
8	1.013286521
9	0.9749593009
10	0.93958067
11	0.9071756023
12	0.875140032
13	0.8470452039
14	0.820236916
15	0.794391171
16	0.7692230285
17	0.7445285705
18	0.7212443597
19	0.7002332609
20	0.6796203496
21	0.6607919153
22	0.6431221777
23	0.6276055198
24	0.6111944876
25	0.5963622041
26	0.5818044955
27	0.5686873822
28	0.5559567475
29	0.5438584861
30	0.5319780737
31	0.5217775821
32	0.5117077012
33	0.5015089216
34	0.4931963826
35	0.4847183585
36	0.4765645425
37	0.4686862697
38	0.4621019911
39	0.4549695402
40	0.4481145815
41	0.4419002162
42	0.4362405014
43	0.4312996637
44	0.4262727391
45	0.4215885051
46	0.4172801332
47	0.4131276661
48	0.4088000023
49	0.4049275001
50	0.4013689742
51	0.3975443332
52	0.3941714461
53	0.3905679243
54	0.3869149434
55	0.3840521593
56	0.3812648635
57	0.3786346499
58	0.3760280311
59	0.3735640339
60	0.371345373
61	0.3689946046
62	0.3672334094
63	0.3655069132
64	0.3633708963
65	0.3619955807
66	0.3605021071
67	0.3589613413
68	0.357300403
69	0.3556946912
70	0.3540846206
71	0.3525377755
72	0.3512934744
73	0.3500179894
74	0.3483920634
75	0.3473420159
76	0.346293743
77	0.3452877433
78	0.3440469425
79	0.3429950036
80	0.3418461379
81	0.3406651446
82	0.3398071562
83	0.3384670439
84	0.3375500537
85	0.3366258454
86	0.3355905499
87	0.3345200125
88	0.3333625939
89	0.3325933376
90	0.331789563
91	0.3310047284
92	0.3299935701
93	0.3291402467
94	0.3285389384
95	0.3274779218
96	0.3269654569
97	0.3262295084
98	0.3254080104
99	0.3248554849
100	0.3242114326
101	0.3235356087
102	0.3225031407
103	0.3218456572
104	0.3213855194
105	0.3207221351
106	0.3202105863
107	0.3190723315
108	0.3186037279
109	0.3179740136
110	0.3175009382
111	0.31696642
112	0.3165424955
113	0.3161020527
114	0.3157109907
115	0.315299044
116	0.3148595639
117	0.314238018
118	0.3137500552
119	0.3132844812
120	0.3123777671
121	0.311582788
122	0.3109034592
123	0.3102908274
124	0.3095826648
125	0.309117998
126	0.3087139161
127	0.3081779783
128	0.3078037572
129	0.3073827584
130	0.3068868039
131	0.3064347989
132	0.3061295523
133	0.3057087168
134	0.3053488642
135	0.3049781677
136	0.3041137562
137	0.3036593647
138	0.3029519543
139	0.3022224615
140	0.3017899469
141	0.3014825165
142	0.3011112386
143	0.300648481
144	0.3002662124
145	0.3000303537
146	0.299755106
147	0.299409684
148	0.2991305682
149	0.2986884655
150	0.2984632535
151	0.297855787
152	0.2972022328
153	0.2962695227
154	0.295948058
155	0.2955718937
156	0.2952706762
157	0.2948353955
158	0.294328508
159	0.2939513255
160	0.2933536988
161	0.2926458024
162	0.2922473577
163	0.2919022442
164	0.2912785745
165	0.2909430332
166	0.2905237708
167	0.2897643757
168	0.2893655826
169	0.2889966115
170	0.2886270361
171	0.2881010217
172	0.2873930741
173	0.2870942556
174	0.2867974537
175	0.2864277959
176	0.2860235393
177	0.2856333477
178	0.2852297702
179	0.2845838426
180	0.2842499536
181	0.2838966539
182	0.2836285486
183	0.2833761654
184	0.2830160574
185	0.2826833653
186	0.282295321
187	0.2819429888
188	0.2816172746
189	0.2810564232
190	0.2806457979
191	0.2803009361
192	0.279951226
193	0.2794295446
194	0.2790928017
195	0.2783791232
196	0.2779370765
197	0.2776271644
198	0.2773156796
199	0.2769829465
200	0.2766132989
201	0.2762337193
202	0.2760298817
203	0.2757029968
204	0.2753696932
205	0.2750771096
206	0.2746454247
207	0.2742746916
208	0.273915216
209	0.2734808522
210	0.2731306006
211	0.2728139104
212	0.2724950736
213	0.2722157183
214	0.2718005017
215	0.2715166389
216	0.2712107755
217	0.2707926081
218	0.270592303
219	0.2701956704
220	0.2698686024
221	0.269425905
222	0.2687585245
223	0.2684395965
224	0.268111486
225	0.2676282824
226	0.2672735558
227	0.2669636638
228	0.2666278211
229	0.2663847428
230	0.2659364871
231	0.2656497839
232	0.2653965341
233	0.2649506966
234	0.2646231741
235	0.2642247993
236	0.2639541275
237	0.2632557103
238	0.2629778571
239	0.2626131481
240	0.2623249726
241	0.2618137381
242	0.2614752009
243	0.2612624468
244	0.2609867308
245	0.260530105
246	0.2603124368
247	0.2599727942
248	0.2596336014
249	0.2594105437
250	0.2590237195
251	0.2587840621
252	0.2584706281
253	0.2581902819
254	0.2577275845
255	0.2575206638
256	0.257300382
257	0.2569659467
258	0.2567333303
259	0.2565113235
260	0.2562509905
261	0.2558814454
262	0.2555356069
263	0.2552705021
264	0.2550268371
265	0.2547557634
266	0.254373014
267	0.2541255218
268	0.2539043326
269	0.2536372182
270	0.2535394517
271	0.2532248063
272	0.2530210291
273	0.2527156762
274	0.2523484246
275	0.2520515852
276	0.2518280166
277	0.2515784378
278	0.2512190923
279	0.2509432607
280	0.2506722323
281	0.2504163463
282	0.2500687127
283	0.2498054165
284	0.2495269008
285	0.2490993888
286	0.2488964617
287	0.2485279436
288	0.2482750584
289	0.2480605001
290	0.2477702821
291	0.2474179717
292	0.2471771054
293	0.2469509311
294	0.2467092271
295	0.2465320722
296	0.2462414447
297	0.2461245704
298	0.2459105263
299	0.24547657
300	0.2451924797
301	0.2449346812
302	0.2446720429
303	0.2443715049
304	0.2441285865
305	0.2439107527
306	0.2436054749
307	0.243387284
308	0.2431818904
309	0.2429077016
310	0.2426412548
311	0.242402178
312	0.2422008029
