iter	Passed	Remaining
0	3	3497
1	6	3395
2	9	3160
3	12	3071
4	15	3063
5	18	3077
6	21	3073
7	24	3073
8	27	3059
9	31	3120
10	34	3117
11	37	3105
12	40	3105
13	43	3095
14	47	3087
15	50	3089
16	53	3083
17	56	3083
18	59	3076
19	63	3090
20	66	3093
21	69	3086
22	72	3095
23	75	3090
24	79	3099
25	83	3113
26	86	3114
27	89	3116
28	93	3114
29	96	3135
30	100	3133
31	103	3133
32	106	3130
33	110	3128
34	113	3126
35	116	3122
36	119	3121
37	123	3125
38	127	3134
39	130	3132
40	133	3130
41	137	3135
42	141	3145
43	144	3148
44	147	3140
45	151	3136
46	154	3140
47	158	3140
48	162	3146
49	165	3146
50	170	3175
51	175	3208
52	182	3269
53	188	3301
54	192	3310
55	196	3308
56	200	3314
57	204	3316
58	208	3320
59	212	3323
60	217	3355
61	221	3357
62	225	3359
63	231	3389
64	236	3404
65	240	3404
66	244	3404
67	252	3459
68	258	3490
69	263	3494
70	266	3491
71	270	3490
72	276	3517
73	283	3545
74	288	3553
75	293	3565
76	298	3582
77	302	3578
78	307	3582
79	311	3576
80	315	3576
81	319	3574
82	323	3569
83	326	3564
84	330	3561
85	334	3558
86	338	3553
87	342	3547
88	346	3543
89	350	3541
90	354	3538
91	357	3531
92	361	3528
93	365	3523
94	369	3518
95	373	3512
96	377	3511
97	381	3506
98	384	3502
99	388	3497
100	393	3499
101	396	3495
102	400	3490
103	404	3484
104	408	3480
105	412	3476
106	416	3471
107	419	3468
108	423	3463
109	427	3459
110	431	3455
111	435	3451
112	439	3446
113	443	3446
114	447	3441
115	451	3438
116	455	3433
117	458	3429
118	462	3424
119	466	3419
120	470	3414
121	473	3410
122	477	3406
123	482	3406
124	486	3402
125	490	3400
126	494	3396
127	498	3394
128	502	3393
129	506	3391
130	510	3389
131	515	3391
132	520	3389
133	525	3393
134	529	3392
135	534	3394
136	539	3397
137	543	3395
138	548	3399
139	553	3397
140	558	3399
141	562	3398
142	567	3400
143	572	3404
144	577	3403
145	582	3409
146	587	3407
147	591	3404
148	596	3404
149	600	3401
150	605	3402
151	610	3404
152	615	3406
153	620	3407
154	624	3403
155	628	3402
156	633	3400
157	637	3399
158	641	3395
159	646	3395
160	651	3394
161	655	3391
162	659	3386
163	663	3383
164	668	3380
165	672	3376
166	676	3376
167	681	3372
168	685	3369
169	689	3365
170	694	3366
171	698	3362
172	703	3364
173	708	3362
174	712	3360
175	717	3360
176	722	3358
177	726	3357
178	731	3354
179	745	3395
180	750	3395
181	754	3392
182	759	3391
183	764	3389
184	769	3387
185	773	3387
186	778	3384
187	783	3383
188	787	3380
189	792	3380
190	797	3376
191	801	3374
192	806	3372
193	810	3367
194	814	3364
195	819	3360
196	823	3357
197	827	3352
198	832	3348
199	836	3344
200	840	3341
201	844	3336
202	848	3332
203	853	3328
204	857	3324
205	861	3321
206	866	3318
207	870	3314
208	875	3311
209	880	3312
210	886	3314
211	891	3315
212	898	3320
213	904	3322
214	910	3322
215	915	3323
216	925	3340
217	931	3342
218	938	3347
219	945	3353
220	951	3353
221	957	3355
222	964	3360
223	972	3367
224	979	3373
225	986	3379
226	993	3382
227	998	3379
228	1004	3382
229	1011	3386
230	1019	3392
231	1026	3397
232	1031	3394
233	1037	3396
234	1044	3401
235	1052	3407
236	1059	3411
237	1066	3416
238	1074	3420
239	1080	3420
240	1085	3418
241	1093	3423
242	1099	3425
243	1105	3425
244	1110	3422
245	1115	3418
246	1120	3414
247	1125	3411
248	1130	3409
249	1134	3403
250	1139	3399
251	1143	3394
252	1147	3388
253	1152	3384
254	1156	3379
255	1160	3373
256	1165	3368
257	1169	3364
258	1173	3358
259	1178	3354
260	1183	3349
261	1187	3345
262	1192	3340
263	1196	3335
264	1200	3329
265	1204	3324
266	1209	3321
267	1214	3316
268	1220	3315
269	1226	3315
270	1231	3312
271	1238	3315
272	1246	3318
273	1252	3319
274	1259	3320
275	1265	3319
276	1271	3318
277	1277	3318
278	1283	3317
279	1289	3315
280	1295	3315
281	1302	3316
282	1309	3317
283	1315	3317
284	1322	3317
285	1328	3316
286	1336	3319
287	1343	3321
288	1349	3320
289	1355	3318
290	1362	3318
291	1369	3319
292	1375	3319
293	1387	3332
294	1394	3333
295	1400	3330
296	1406	3329
297	1411	3325
298	1421	3332
299	1428	3333
300	1433	3328
301	1438	3325
302	1444	3323
303	1450	3321
304	1455	3317
305	1460	3313
306	1469	3316
307	1476	3317
308	1487	3327
309	1495	3327
310	1500	3323
311	1504	3318
312	1510	3314
313	1516	3312
314	1520	3306
315	1525	3302
316	1530	3297
317	1535	3293
318	1540	3289
319	1545	3283
320	1550	3278
321	1554	3273
322	1559	3269
323	1566	3267
324	1570	3261
325	1575	3257
326	1579	3251
327	1584	3245
328	1588	3240
329	1593	3235
330	1598	3231
331	1603	3225
332	1607	3220
333	1613	3216
334	1617	3211
335	1623	3207
336	1627	3202
337	1632	3197
338	1637	3193
339	1641	3187
340	1646	3182
341	1652	3179
342	1656	3173
343	1661	3169
344	1666	3163
345	1670	3158
346	1675	3152
347	1679	3147
348	1684	3142
349	1688	3136
350	1693	3131
351	1698	3126
352	1703	3122
353	1708	3117
354	1713	3112
355	1717	3107
356	1722	3101
357	1726	3096
358	1730	3090
359	1735	3085
360	1741	3083
361	1746	3077
362	1750	3072
363	1755	3066
364	1759	3061
365	1763	3055
366	1768	3049
367	1772	3044
368	1777	3039
369	1782	3034
370	1786	3029
371	1791	3023
372	1795	3018
373	1800	3012
374	1804	3007
375	1808	3001
376	1813	2996
377	1817	2990
378	1822	2986
379	1826	2980
380	1831	2975
381	1835	2969
382	1840	2964
383	1844	2958
384	1848	2953
385	1853	2948
386	1858	2944
387	1864	2941
388	1868	2935
389	1873	2930
390	1878	2925
391	1882	2920
392	1887	2914
393	1893	2912
394	1898	2907
395	1903	2903
396	1908	2898
397	1913	2894
398	1920	2892
399	1926	2889
400	1933	2888
401	1941	2887
402	1954	2895
403	1971	2908
404	1982	2911
405	1990	2912
